timestamp	date	actor	text	name	type	features	variables
1665763739281	Fri Oct 14 18:08:59 CEST 2022	Anna	Hello,	speak	blocking		
1665763739417	Fri Oct 14 18:08:59 CEST 2022	Anna	$5.	speak	blocking		
1665763739445	Fri Oct 14 18:08:59 CEST 2022	Anna	[TurnTowards x=2.0 y=0.0 z=0.0]	TurnTowards	parallel	x=2.0,y=0.0,z=0.0	
1665763739454	Fri Oct 14 18:08:59 CEST 2022	Anna	$6.	speak	blocking		
1665763739467	Fri Oct 14 18:08:59 CEST 2022	Anna	[LookAtPoint x=1.0 y=1.0 z=-1.0]	LookAtPoint	parallel	x=1.0,y=1.0,z=-1.0	
1665763744193	Fri Oct 14 18:09:04 CEST 2022	Anna	my Name is Andrea.	speak	blocking		
1665763749091	Fri Oct 14 18:09:09 CEST 2022	Anna	I will be working with you today.	speak	blocking		
1665763754038	Fri Oct 14 18:09:14 CEST 2022	Anna	We will assemble some parts together.	speak	blocking		
1665763758962	Fri Oct 14 18:09:18 CEST 2022	Anna	I can,see the same as a normal person can,	speak	blocking		
1665763763883	Fri Oct 14 18:09:23 CEST 2022	Anna	but due to the noise in here I can't really hear what you say.	speak	blocking		
1665763768772	Fri Oct 14 18:09:28 CEST 2022	Anna	I guess I will be the one talking then but don't worry I consider myself quite the entertainer.	speak	blocking		
1665763775793	Fri Oct 14 18:09:35 CEST 2022	Anna	$42.	speak	blocking		
1665763775794	Fri Oct 14 18:09:35 CEST 2022	Anna	[LookAtObject name=Camera]	LookAtObject	parallel	name=Camera	
1665763775795	Fri Oct 14 18:09:35 CEST 2022	Anna	$43.	speak	blocking		
1665763775796	Fri Oct 14 18:09:35 CEST 2022	Anna	[TurnTowards x=0.0 y=0.0 z=-2.0]	TurnTowards	parallel	x=0.0,y=0.0,z=-2.0	
1665763776332	Fri Oct 14 18:09:36 CEST 2022	Anna	$45.	speak	blocking		
1665763776347	Fri Oct 14 18:09:36 CEST 2022	Anna	[TurnTowards x=0.0 y=0.0 z=-2.0]	TurnTowards	parallel	x=0.0,y=0.0,z=-2.0	
